Family	Genus	Scientific name	Adult survival	Age at first breeding	Maximum longevity	Z	GenFLS	GenFL	GenFS	GenLength	Priority for research
Thraupidae	Saltator	Saltator cinctus	0,716415438	1,309504061	9,334655894	0,142143345	3,364949595	2,450225987	3,835789106	3,364949595	Low
Thraupidae	Saltator	Saltator maxillosus	0,66327797	1,320727874	9,947457723	0,142143345	3,1229757	2,546960111	3,290536532	3,1229757	Low
Thraupidae	Saltator	Saltator aurantiirostris	0,678252298	1,272530277	9,621479455	0,142143345	3,170200216	2,45927784	3,380555583	3,170200216	Low
Thraupidae	Coereba	Coereba flaveola	0,582317626	1,047099124	8,6	0,142143345	2,371433439	2,120693719	2,441262877	2,371433439	Low
Thraupidae	Tiaris	Tiaris olivaceus	0,540090626	0,914688799	8,10598739	0,142143345	2,030688555	1,936884036	2,089030216	2,030688555	Medium
Thraupidae	Euneornis	Euneornis campestris	0,574936959	1,124526997	9,149317855	0,142143345	2,41491556	2,265197612	2,477119209	2,41491556	Low
Thraupidae	Pyrrhulagra	Pyrrhulagra portoricensis	0,659841443	1,254637058	15,58333333	0,142143345	3,173754755	3,291365876	3,194442568	3,291365876	Low
Thraupidae	Pyrrhulagra	Pyrrhulagra violacea	0,615174331	1,12253668	10,88172221	0,142143345	2,668338083	2,509739956	2,721115934	2,668338083	Low
Thraupidae	Pyrrhulagra	Pyrrhulagra nigra	0,64	1,144208007	15,58333333	0,142143345	2,909299227	3,196633579	2,921985785	3,196633579	Low
Thraupidae	Pyrrhulagra	Pyrrhulagra taylori	0,64	1,144208007	15,58333333	0,142143345	2,909299227	3,196633579	2,921985785	3,196633579	Low
Thraupidae	Loxipasser	Loxipasser anoxanthus	0,587444192	0,984695008	7,893839504	0,142143345	2,293522543	1,966783918	2,408609496	2,293522543	Low
Thraupidae	Phonipara	Phonipara canora	0,559299699	0,941815026	8,445694554	0,142143345	2,133587035	2,008441563	2,21093079	2,133587035	Low
Thraupidae	Loxigilla	Loxigilla barbadensis	0,594028999	0,994799092	8,388474389	0,142143345	2,332038811	2,045760831	2,458029218	2,332038811	Low
Thraupidae	Loxigilla	Loxigilla noctis	0,612648837	1,060726464	8,406184822	0,142143345	2,480372931	2,104834486	2,64236322	2,480372931	Low
Thraupidae	Melanospiza	Melanospiza richardsoni	0,688927926	1,246239024	7,05354856	0,142143345	2,904328441	2,071709427	3,460928106	2,904328441	Low
Thraupidae	Melanospiza	Melanospiza bicolor	0,549908551	0,940693013	6,191171764	0,142143345	1,991826877	1,687013626	2,162463727	1,991826877	Medium
Thraupidae	Asemospiza	Asemospiza fuliginosa	0,524331564	0,910164492	7,13862923	0,142143345	1,935361503	1,795499304	2,012469216	1,935361503	Medium
Thraupidae	Asemospiza	Asemospiza obscura	0,526994656	0,880506749	6,748293865	0,142143345	1,914724724	1,714573637	1,994647768	1,914724724	Medium
Thraupidae	Certhidea	Certhidea fusca	0,590499309	1,144208007	9,97001009	0,142143345	2,534393376	2,398737037	2,586206328	2,534393376	Low
